,Projection_Onto_Kernel_Vector_0,Projection_Onto_Kernel_Vector_1,Projection_Onto_Kernel_Vector_2,Projection_Onto_Kernel_Vector_3,Projection_Onto_Kernel_Vector_4,Projection_Onto_Kernel_Vector_5,Projection_Onto_Kernel_Vector_6,Projection_Onto_Kernel_Vector_7,Projection_Onto_Kernel_Vector_8,ErrorInCashFlow
0,18.0,65.0,77.0,64.0,73.0,73.0,73.0,81.0,82.0,
1,390.0,396.0,421.0,464.0,498.0,532.0,573.0,615.0,663.0,
2,98.0,103.0,107.0,111.0,114.0,116.0,122.0,124.0,127.0,
3,120.0,121.0,129.0,136.0,140.0,145.0,149.0,152.0,155.0,
4,1.0,3.0,4.0,3.0,4.0,4.0,3.0,4.0,3.0,
5,694.0,641.0,791.0,790.0,840.0,870.0,913.0,963.0,973.0,
6,107.0,127.0,166.0,222.0,229.0,254.0,269.0,288.0,311.0,
7,376.0,48.0,1116.0,1547.0,1630.0,1718.0,1727.0,1727.0,1361.0,
8,6419.0,6813.0,7178.0,7891.0,8222.0,8727.0,9271.0,9719.0,10177.0,
9,3.0,2.0,2.0,2.0,3.0,3.0,3.0,3.0,3.0,
10,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,
11,301.0,374.0,396.0,488.0,534.0,573.0,621.0,659.0,697.0,
12,222.0,280.0,409.0,489.0,499.0,553.0,580.0,618.0,665.0,
13,3824.0,3560.0,3612.0,3694.0,3774.0,3970.0,4109.0,4210.0,4338.0,
14,37.0,42.0,51.0,54.0,55.0,55.0,56.0,62.0,64.0,
15,849.0,1065.0,1382.0,1771.0,2022.0,2205.0,2415.0,2601.0,2771.0,
16,858.0,1224.0,1454.0,1866.0,1977.0,2097.0,2197.0,2224.0,2473.0,
17,12.0,28.0,23.0,32.0,26.0,31.0,29.0,37.0,35.0,
18,779.0,798.0,888.0,885.0,931.0,890.0,974.0,1041.0,1123.0,
19,459.0,196.0,560.0,838.0,965.0,1049.0,1194.0,1260.0,1304.0,
20,19.0,35.0,47.0,53.0,60.0,65.0,69.0,76.0,83.0,
21,363.0,413.0,483.0,429.0,448.0,467.0,486.0,504.0,525.0,
22,74201.0,84509.0,97935.0,115283.0,129019.0,139060.0,148896.0,158351.0,167987.0,
23,124.0,131.0,141.0,146.0,153.0,159.0,162.0,166.0,173.0,
24,657.0,637.0,684.0,767.0,792.0,810.0,825.0,842.0,853.0,
25,314.0,225.0,323.0,316.0,297.0,325.0,324.0,337.0,352.0,
26,21.0,26.0,53.0,70.0,50.0,71.0,63.0,76.0,68.0,
27,47.0,45.0,48.0,56.0,59.0,64.0,69.0,73.0,79.0,
28,45.0,52.0,61.0,69.0,70.0,73.0,77.0,82.0,87.0,
29,602.0,816.0,1087.0,1396.0,1609.0,1823.0,2030.0,2247.0,2457.0,
30,240.0,254.0,310.0,370.0,403.0,465.0,469.0,508.0,570.0,
31,618.0,708.0,731.0,750.0,792.0,807.0,828.0,861.0,886.0,
32,241.0,302.0,315.0,292.0,328.0,344.0,349.0,359.0,350.0,
33,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,
34,21.0,57.0,55.0,73.0,82.0,91.0,84.0,96.0,96.0,
35,73.0,111.0,138.0,170.0,233.0,277.0,305.0,344.0,371.0,
36,601.0,761.0,1038.0,1330.0,1543.0,1752.0,1937.0,2138.0,2314.0,
37,189.0,198.0,162.0,201.0,186.0,200.0,212.0,200.0,220.0,
38,48.0,75.0,96.0,118.0,115.0,123.0,125.0,125.0,146.0,
39,373.0,675.0,655.0,805.0,915.0,928.0,1005.0,1026.0,1056.0,
40,393.0,338.0,428.0,475.0,542.0,569.0,667.0,705.0,663.0,
41,1.0,38.0,119.0,189.0,215.0,233.0,251.0,268.0,294.0,
42,253.0,295.0,311.0,351.0,367.0,382.0,400.0,420.0,438.0,
43,2.0,29.0,39.0,53.0,58.0,61.0,65.0,69.0,73.0,
44,253.0,286.0,335.0,376.0,408.0,439.0,463.0,491.0,532.0,
45,8.0,8.0,9.0,11.0,12.0,12.0,13.0,14.0,15.0,
46,666.0,684.0,695.0,720.0,743.0,759.0,789.0,813.0,839.0,
47,311.0,290.0,338.0,367.0,361.0,379.0,417.0,413.0,421.0,
48,62.0,58.0,69.0,68.0,66.0,75.0,77.0,79.0,92.0,
49,5191.0,8182.0,11321.0,14887.0,15973.0,16851.0,17643.0,18667.0,19533.0,
0,,,,,,,,,,264.95173719665127
1,,,,,,,,,,-2917.894385330471
2,,,,,,,,,,-827.5169487772511
