0,1,2,3,4,5,6,7,8
103863,114683,129113,137879,143392,158412,161259,177381,179618
260,265,258,333,338,343,365,365,387
179,207,249,305,323,345,360,415,437
14,23,24,22,24,24,27,28,30
2460,2808,2633,2966,3490,3656,4021,4207,4223
599,673,743,808,838,889,959,1024,1076
101,115,130,162,184,207,232,249,283
120,109,84,113,109,106,114,115,116
345,284,338,348,398,405,428,430,466
206,251,315,385,438,496,553,613,671
168,171,182,186,191,194,198,208,211
21,23,23,23,24,25,26,26,27
117,154,163,212,211,214,220,225,229
281,289,314,355,367,380,389,399,405
547,694,733,915,1056,1107,1229,1308,1374
2069,2264,2679,3084,3243,3488,3603,3790,4068
6,13,31,37,38,41,44,45,49
117,120,126,123,122,125,128,131,134
137,254,408,495,514,527,533,543,557
480,508,517,550,570,580,592,605,619
611,665,681,692,721,732,747,766,788
1072,1062,1169,1264,1095,1205,1366,1453,1573
23,25,37,41,39,41,41,41,46
62,58,69,68,66,75,77,79,92
7,9,29,34,42,51,57,65,72
44,65,71,71,88,96,107,114,105
3152,3361,3541,3823,4082,4365,4559,4834,5107
1,38,119,189,215,233,251,268,294
61,64,69,73,78,79,86,94,98
745,759,791,820,832,852,890,949,961
613,633,787,853,893,928,1009,1013,1063
14542,10859,10344,13365,12805,13314,13789,14272,15065
771,933,1079,1196,1302,1428,1544,1681,1806
12,15,19,25,26,27,29,30,32
339,326,318,329,350,362,364,375,399
15257,15616,16644,17536,18468,18921,20010,21065,21973
393,338,428,475,542,569,667,705,663
19,24,22,23,24,23,24,26,26
317,155,508,781,965,1129,1222,1402,1477
101,125,116,112,130,112,114,145,134
284,331,420,535,623,716,812,896,983
788,794,870,960,985,1024,1069,1102,1137
54,59,70,93,101,108,119,123,133
2179,2434,2751,3107,3382,3639,3914,4226,4545
686,833,941,1151,1272,1358,1505,1601,1703
33,20,26,28,27,32,32,32,35
14,15,17,17,18,19,19,19,20
74,58,52,67,61,61,67,67,70
113,134,121,120,143,145,144,170,163
2,7,19,19,25,30,35,41,49
367,347,426,426,462,499,532,568,601
129,132,132,136,139,143,146,152,155
908,970,1140,1248,1468,1545,1646,1729,1815
9,119,115,147,170,172,173,194,207
11,12,16,19,19,21,22,25,25
14,12,9,15,16,16,12,15,16
75,185,230,330,337,339,342,398,402
86,111,106,133,118,129,134,151,153
150,181,209,248,267,291,318,349,374
2790,3291,3837,4368,4763,5051,5341,5641,5949
50,91,153,181,199,208,203,212,225
3,5,6,9,10,12,13,14,16
19,30,45,58,57,59,64,65,62
86,96,164,182,206,229,234,248,279
2,2,5,5,5,6,6,6,7
9,12,15,17,20,23,26,30,34
194,262,236,255,283,305,284,307,352
287,312,366,334,361,344,390,415,469
182,200,231,292,308,325,334,367,369
1580,1783,2376,2599,2824,3194,3460,3830,4223
138,119,167,147,148,164,155,170,171
923,1044,1188,1134,1180,1232,1239,1271,1290
268,235,280,271,280,295,289,305,306
297,326,317,343,346,365,377,402,414
6,7,9,8,9,10,10,11,11
6603,7194,7074,7290,7679,8016,8202,8389,8583
459,518,635,719,807,866,919,972,1025
6,6,6,6,6,6,7,7,7
1318,1154,965,1224,1194,1220,1296,1292,1320
18,17,37,41,50,61,69,78,86
666,684,695,720,743,759,789,813,839
18,22,26,35,36,37,36,38,41
92,94,134,157,159,166,171,184,194
706,716,822,895,952,1025,1095,1181,1280
16,17,16,17,18,18,18,20,21
521,610,778,907,930,981,1084,1136,1126
223,218,241,244,249,257,261,266,260
14956,15584,16825,18804,20548,22021,23460,25562,27326
0,1,1,1,1,1,1,1,1
85,93,121,136,152,169,183,197,213
1420,1599,1699,1682,1763,1831,1863,1897,1960
636,1150,1503,2606,2915,3186,3655,3893,4166
2637,2748,2888,3099,3278,3372,3530,3649,3727
204,280,379,406,481,546,581,615,604
285,309,319,327,331,357,378,370,420
142,186,233,284,319,353,380,424,469
611,634,654,686,706,722,742,756,773
44,162,341,479,566,628,719,784,844
18,87,137,198,245,256,274,309,339
202,193,216,244,258,265,271,278,278
180,580,1716,2567,3910,5424,6785,8405,9942
4,6,10,10,11,13,14,17,18
672,780,887,888,926,952,981,1004,1042
190,192,197,214,225,237,255,269,280
1009,1012,1019,1061,1073,1103,1130,1148,1172
568,673,863,1021,1128,1226,1309,1395,1483
19,25,30,30,31,32,33,34,34
45,102,139,179,199,222,244,273,299
28,70,134,171,188,196,202,206,210
66,40,41,50,48,51,53,54,53
52,62,73,70,77,84,87,94,101
201,213,243,273,297,318,349,370,390
3,4,0,2,3,2,2,3,1
7,7,12,18,19,20,21,23,23
8256,8334,8278,8732,8957,9117,9336,9510,9698
4,6,10,13,15,18,19,22,24
576,708,857,990,1183,1327,1439,1566,1653
14691,15456,15848,16341,16700,17086,17500,17913,18312
62,83,110,130,146,161,176,193,213
521,659,818,957,1051,1128,1208,1326,1415
155,182,183,224,228,251,259,268,271
68,53,75,69,70,75,75,77,80
2,3,1,2,2,2,2,2,2
373,675,655,805,915,928,1005,1026,1056
90,89,95,98,100,102,105,106,108
64,78,73,70,76,79,86,90,95
106,128,160,185,201,213,227,241,268
532,582,541,476,494,513,529,542,561
236,285,326,380,389,419,434,459,492
39,51,60,65,73,73,78,81,92
